downstream_003
             x                       y                       z
   3.19195e-02             4.55858e-02             8.00000e-02
   3.14154e-02             4.42660e-02             8.00000e-02
   3.04196e-02             4.16588e-02             8.00000e-02
   2.89186e-02             3.78551e-02             8.00000e-02
   2.69479e-02             3.29496e-02             8.00000e-02
   2.45681e-02             2.70546e-02             8.00000e-02
   2.18065e-02             2.03372e-02             8.00000e-02
   1.86641e-02             1.30097e-02             8.00000e-02
   1.51260e-02             5.31710e-03             8.00000e-02
   1.11935e-02            -2.49107e-03             8.00000e-02
   6.87158e-03            -1.01582e-02             8.00000e-02
   2.18477e-03            -1.74382e-02             8.00000e-02
  -2.78304e-03            -2.41297e-02             8.00000e-02
  -7.88151e-03            -3.00876e-02             8.00000e-02
  -1.29345e-02            -3.52006e-02             8.00000e-02
  -1.77296e-02            -3.94044e-02             8.00000e-02
  -2.20459e-02            -4.26675e-02             8.00000e-02
  -2.58664e-02            -4.48470e-02             8.00000e-02
  -2.88924e-02            -4.60326e-02             8.00000e-02
  -3.19195e-02            -4.55858e-02             8.00000e-02
  -3.23150e-02            -4.36361e-02             8.00000e-02
  -3.15818e-02            -4.08451e-02             8.00000e-02
  -3.00159e-02            -3.70868e-02             8.00000e-02
  -2.76375e-02            -3.24668e-02             8.00000e-02
  -2.45287e-02            -2.70822e-02             8.00000e-02
  -2.07461e-02            -2.10797e-02             8.00000e-02
  -1.63460e-02            -1.46328e-02             8.00000e-02
  -1.13588e-02            -7.95490e-03             8.00000e-02
  -5.90500e-03            -1.21196e-03             8.00000e-02
  -1.60663e-04             5.45918e-03             8.00000e-02
   5.63625e-03             1.19619e-02             8.00000e-02
   1.12547e-02             1.81978e-02             8.00000e-02
   1.64652e-02             2.40772e-02             8.00000e-02
   2.10676e-02             2.95057e-02             8.00000e-02
   2.49178e-02             3.43711e-02             8.00000e-02
   2.79146e-02             3.85582e-02             8.00000e-02
   3.00122e-02             4.19441e-02             8.00000e-02
   3.12785e-02             4.43619e-02             8.00000e-02
   3.19195e-02             4.55858e-02             8.00000e-02

   3.03158e-02             4.58229e-02             9.66211e-02
   2.98527e-02             4.45071e-02             9.66211e-02
   2.89378e-02             4.19080e-02             9.66211e-02
   2.75554e-02             3.81148e-02             9.66211e-02
   2.57382e-02             3.32219e-02             9.66211e-02
   2.35430e-02             2.73418e-02             9.66211e-02
   2.09924e-02             2.06400e-02             9.66211e-02
   1.80818e-02             1.33262e-02             9.66211e-02
   1.47902e-02             5.64179e-03             9.66211e-02
   1.11124e-02            -2.16700e-03             9.66211e-02
   7.04659e-03            -9.84676e-03             9.66211e-02
   2.61054e-03            -1.71539e-02             9.66211e-02
  -2.11818e-03            -2.38876e-02             9.66211e-02
  -6.99497e-03            -2.99006e-02             9.66211e-02
  -1.18489e-02            -3.50785e-02             9.66211e-02
  -1.64719e-02            -3.93524e-02             9.66211e-02
  -2.06470e-02            -4.26854e-02             9.66211e-02
  -2.43608e-02            -4.49360e-02             9.66211e-02
  -2.73165e-02            -4.61850e-02             9.66211e-02
  -3.03158e-02            -4.58229e-02             9.66211e-02
  -3.07570e-02            -4.39088e-02             9.66211e-02
  -3.01059e-02            -4.11352e-02             9.66211e-02
  -2.86584e-02            -3.73851e-02             9.66211e-02
  -2.64314e-02            -3.27634e-02             9.66211e-02
  -2.35034e-02            -2.73680e-02             9.66211e-02
  -1.99264e-02            -2.13453e-02             9.66211e-02
  -1.57517e-02            -1.48678e-02             9.66211e-02
  -1.10035e-02            -8.14706e-03             9.66211e-02
  -5.79643e-03            -1.34998e-03             9.66211e-02
  -3.00777e-04             5.38381e-03             9.66211e-02
   5.25116e-03             1.19527e-02             9.66211e-02
   1.06338e-02             1.82537e-02             9.66211e-02
   1.56233e-02             2.41922e-02             9.66211e-02
   2.00243e-02             2.96697e-02             9.66211e-02
   2.36975e-02             3.45720e-02             9.66211e-02
   2.65461e-02             3.87825e-02             9.66211e-02
   2.85282e-02             4.21789e-02             9.66211e-02
   2.97150e-02             4.45982e-02             9.66211e-02
   3.03158e-02             4.58229e-02             9.66211e-02

   2.75944e-02             4.65987e-02             1.13242e-01
   2.72031e-02             4.52807e-02             1.13242e-01
   2.64300e-02             4.26770e-02             1.13242e-01
   2.52554e-02             3.88750e-02             1.13242e-01
   2.37067e-02             3.39690e-02             1.13242e-01
   2.18343e-02             2.80725e-02             1.13242e-01
   1.96525e-02             2.13497e-02             1.13242e-01
   1.71463e-02             1.40068e-02             1.13242e-01
   1.42832e-02             6.28024e-03             1.13242e-01
   1.10460e-02            -1.58768e-03             1.13242e-01
   7.42047e-03            -9.34763e-03             1.13242e-01
   3.41219e-03            -1.67589e-02             1.13242e-01
  -9.12368e-04            -2.36200e-02             1.13242e-01
  -5.41807e-03            -2.97790e-02             1.13242e-01
  -9.94222e-03            -3.51147e-02             1.13242e-01
  -1.42836e-02            -3.95491e-02             1.13242e-01
  -1.82300e-02            -4.30352e-02             1.13242e-01
  -2.17756e-02            -4.54333e-02             1.13242e-01
  -2.46240e-02            -4.68079e-02             1.13242e-01
  -2.75944e-02            -4.65987e-02             1.13242e-01
  -2.81227e-02            -4.47361e-02             1.13242e-01
  -2.76180e-02            -4.19736e-02             1.13242e-01
  -2.63771e-02            -3.82108e-02             1.13242e-01
  -2.44116e-02            -3.35516e-02             1.13242e-01
  -2.17941e-02            -2.80964e-02             1.13242e-01
  -1.85685e-02            -2.19917e-02             1.13242e-01
  -1.47767e-02            -1.54100e-02             1.13242e-01
  -1.04323e-02            -8.56061e-03             1.13242e-01
  -5.64000e-03            -1.61359e-03             1.13242e-01
  -5.60443e-04             5.28531e-03             1.13242e-01
   4.58261e-03             1.20246e-02             1.13242e-01
   9.57221e-03             1.84919e-02             1.13242e-01
   1.41925e-02             2.45830e-02             1.13242e-01
   1.82561e-02             3.01915e-02             1.13242e-01
   2.16315e-02             3.51979e-02             1.13242e-01
   2.42291e-02             3.94828e-02             1.13242e-01
   2.60136e-02             4.29237e-02             1.13242e-01
   2.70631e-02             4.53635e-02             1.13242e-01
   2.75944e-02             4.65987e-02             1.13242e-01

   2.33147e-02             4.81257e-02             1.29863e-01
   2.30382e-02             4.67965e-02             1.29863e-01
   2.24920e-02             4.41709e-02             1.29863e-01
   2.16493e-02             4.03330e-02             1.29863e-01
   2.05295e-02             3.53779e-02             1.29863e-01
   1.91727e-02             2.94216e-02             1.29863e-01
   1.75795e-02             2.26267e-02             1.29863e-01
   1.57182e-02             1.51948e-02             1.29863e-01
   1.35373e-02             7.35615e-03             1.29863e-01
   1.10000e-02            -6.52479e-04             1.29863e-01
   8.07162e-03            -8.58684e-03             1.29863e-01
   4.73791e-03            -1.62097e-02             1.29863e-01
   1.04767e-03            -2.33172e-02             1.29863e-01
  -2.87864e-03            -2.97486e-02             1.29863e-01
  -6.89091e-03            -3.53716e-02             1.29863e-01
  -1.07975e-02            -4.00926e-02             1.29863e-01
  -1.43937e-02            -4.38480e-02             1.29863e-01
  -1.76850e-02            -4.64997e-02             1.29863e-01
  -2.03746e-02            -4.80869e-02             1.29863e-01
  -2.33147e-02            -4.81257e-02             1.29863e-01
  -2.39880e-02            -4.63364e-02             1.29863e-01
  -2.37189e-02            -4.35765e-02             1.29863e-01
  -2.28078e-02            -3.97717e-02             1.29863e-01
  -2.12575e-02            -3.50252e-02             1.29863e-01
  -1.91311e-02            -2.94418e-02             1.29863e-01
  -1.64600e-02            -2.31691e-02             1.29863e-01
  -1.32710e-02            -1.63804e-02             1.29863e-01
  -9.56025e-03            -9.28285e-03             1.29863e-01
