upstream_002
             x                       y                       z
   2.82843e-02             2.82843e-02             8.00000e-02
   2.80522e-02             2.78966e-02             8.00000e-02
   2.75906e-02             2.71254e-02             8.00000e-02
   2.69045e-02             2.59792e-02             8.00000e-02
   2.59970e-02             2.44751e-02             8.00000e-02
   2.48598e-02             2.26477e-02             8.00000e-02
   2.35231e-02             2.04992e-02             8.00000e-02
   2.20019e-02             1.80530e-02             8.00000e-02
   2.03035e-02             1.53451e-02             8.00000e-02
   1.84425e-02             1.24092e-02             8.00000e-02
   1.64273e-02             9.28955e-03             8.00000e-02
   1.42636e-02             6.03661e-03             8.00000e-02
   1.19577e-02             2.70339e-03             8.00000e-02
   9.51780e-03            -6.56389e-04             8.00000e-02
   6.95419e-03            -3.98956e-03             8.00000e-02
   4.27975e-03            -7.24438e-03             8.00000e-02
   1.50931e-03            -1.03707e-02             8.00000e-02
  -1.33887e-03            -1.33222e-02             8.00000e-02
  -4.23877e-03            -1.60614e-02             8.00000e-02
  -7.15006e-03            -1.85668e-02             8.00000e-02
  -1.00267e-02            -2.08250e-02             8.00000e-02
  -1.28219e-02            -2.28267e-02             8.00000e-02
  -1.54854e-02            -2.45695e-02             8.00000e-02
  -1.80298e-02            -2.59925e-02             8.00000e-02
  -2.03345e-02            -2.71730e-02             8.00000e-02
  -2.24302e-02            -2.80419e-02             8.00000e-02
  -2.42718e-02            -2.86120e-02             8.00000e-02
  -2.57792e-02            -2.89368e-02             8.00000e-02
  -2.69640e-02            -2.89848e-02             8.00000e-02
  -2.82843e-02            -2.82843e-02             8.00000e-02
  -2.83708e-02            -2.75780e-02             8.00000e-02
  -2.82169e-02            -2.64991e-02             8.00000e-02
  -2.76248e-02            -2.52590e-02             8.00000e-02
  -2.67258e-02            -2.37463e-02             8.00000e-02
  -2.55185e-02            -2.19890e-02             8.00000e-02
  -2.40093e-02            -2.00131e-02             8.00000e-02
  -2.22235e-02            -1.78314e-02             8.00000e-02
  -2.01801e-02            -1.54685e-02             8.00000e-02
  -1.78973e-02            -1.29545e-02             8.00000e-02
  -1.53899e-02            -1.03270e-02             8.00000e-02
  -1.26765e-02            -7.62365e-03             8.00000e-02
  -9.77438e-03            -4.88672e-03             8.00000e-02
  -6.70750e-03            -2.15392e-03             8.00000e-02
  -3.51841e-03             5.53777e-04             8.00000e-02
  -2.56255e-04             3.22089e-03             8.00000e-02
   3.02657e-03             5.83485e-03             8.00000e-02
   6.27687e-03             8.38424e-03             8.00000e-02
   9.44354e-03             1.08566e-02             8.00000e-02
   1.24756e-02             1.32412e-02             8.00000e-02
   1.53235e-02             1.55282e-02             8.00000e-02
   1.79461e-02             1.77025e-02             8.00000e-02
   2.03138e-02             1.97410e-02             8.00000e-02
   2.23846e-02             2.16378e-02             8.00000e-02
   2.41396e-02             2.33679e-02             8.00000e-02
   2.56064e-02             2.48657e-02             8.00000e-02
   2.66798e-02             2.62040e-02             8.00000e-02
   2.74776e-02             2.72384e-02             8.00000e-02
   2.80144e-02             2.79344e-02             8.00000e-02
   2.82875e-02             2.82811e-02             8.00000e-02

   2.66924e-02             2.85135e-02             9.87000e-02
   2.64783e-02             2.81277e-02             9.87000e-02
   2.60527e-02             2.73603e-02             9.87000e-02
   2.54200e-02             2.62196e-02             9.87000e-02
   2.45828e-02             2.47225e-02             9.87000e-02
   2.35318e-02             2.29025e-02             9.87000e-02
   2.22965e-02             2.07627e-02             9.87000e-02
   2.08907e-02             1.83264e-02             9.87000e-02
   1.93204e-02             1.56291e-02             9.87000e-02
   1.75987e-02             1.27040e-02             9.87000e-02
   1.57325e-02             9.59464e-03             9.87000e-02
   1.37256e-02             6.35040e-03             9.87000e-02
   1.15826e-02             3.02324e-03             9.87000e-02
   9.30966e-03            -3.34159e-04             9.87000e-02
   6.91512e-03            -3.66957e-03             9.87000e-02
   4.40988e-03            -6.93209e-03             9.87000e-02
   1.80683e-03            -1.00723e-02             9.87000e-02
  -8.77719e-04            -1.30444e-02             9.87000e-02
  -3.61958e-03            -1.58110e-02             9.87000e-02
  -6.38008e-03            -1.83497e-02             9.87000e-02
  -9.11477e-03            -2.06461e-02             9.87000e-02
  -1.17782e-02            -2.26896e-02             9.87000e-02
  -1.43214e-02            -2.44762e-02             9.87000e-02
  -1.67587e-02            -2.59468e-02             9.87000e-02
  -1.89698e-02            -2.71731e-02             9.87000e-02
  -2.09871e-02            -2.80885e-02             9.87000e-02
